film,main_char,degree,betweenness
Rabid,WALSH,0.8202751925805759,0.2014721468676077
Next (2007 film),CRIS,2.804800612310997,2.882450491088788
Next (2007 film),LIZ,2.0516597071534144,1.35859939164888
Next (2007 film),FERRIS,2.804800612310997,3.3024161383926582
Saga of a Star World,SKYLER,5.541322259245108,6.539626919536566
Saga of a Star World,STARBUCK,4.8514645373356124,5.195661593028394
Saga of a Star World,ADAMA,3.3337775491347235,2.980247399348673
Saga of a Star World,LYRA,1.402175927788137,0.2565891577154206
Roughshod (film),CLAY,3.3647067095529772,4.821805481667498
Roughshod (film),MARY,1.9608886784149804,1.0249636301246747
Roughshod (film),STEVE,1.3369695534647592,0.5371550211436686
Roughshod (film),HELEN,0.8690302097520934,0.07549801609107372
Rachel Getting Married,KYM,2.4398838636504325,3.8533064730489164
Rachel Getting Married,RACHEL,1.1104599635844918,0.41379556516325566
Rachel Getting Married,PAUL,1.3763447435976799,0.44015197058766675
LAvventura,SANDRO,3.734934615198665,5.1871269679729535
LAvventura,CLAUDIA,2.3984723886739028,1.5065739139218293
LAvventura,PATRIZIA,0.8710869869313181,-0.22141177538301524
17 Again (film),MIKE,3.208444739598739,4.548975404652613
17 Again (film),ED,1.4483836253045737,0.5606720372957602
Day of the Dead (1985 film),JOHN,0.36586843748980336,-0.43036218085619676
Day of the Dead (1985 film),RHODES,1.3821696527392575,0.8142643404667776
Day of the Dead (1985 film),TOBY,2.3984708679887117,2.107964002033682
Day of the Dead (1985 film),MARY,2.0597037962388933,2.399007846373465
Day of the Dead (1985 film),SARAH,1.7209367244890759,2.548593477221837
Day of the Dead (1985 film),GASPARILLA,0.36586843748980336,1.1942982609302484
Day of the Dead (1985 film),LOGAN,0.7046355092396216,-0.10475109307414898
Day of the Dead (1985 film),CHICO,0.027101365739985395,0.42476557953697297
Day of the Dead (1985 film),MIGUEL,0.027101365739985395,-0.09785822012583996
Interview with the Vampire: The Vampire Chronicles,LOUIS,2.8900976759968695,2.5396863383381083
Interview with the Vampire: The Vampire Chronicles,LESTAT,2.8900976759968695,3.5413996672275965
Interview with the Vampire: The Vampire Chronicles,CLAUDIA,1.8607478187925053,1.9166325088932146
Runaway Bride (1999 film),MAGGIE,3.2222590183398525,3.399323339964917
Runaway Bride (1999 film),IKE,3.793950134496923,4.40183710747053
The Village (2004 film),Ivy,2.747110099034641,3.038281461087803
The Village (2004 film),Edward,2.474496119741128,3.245304014028451
The Village (2004 film),Lucius,0.8388122439800433,0.22790498701764947
Notting Hill (film),WILLIAM,4.009288214702838,5.049046048000869
Notting Hill (film),ANNA,2.3072318971403125,1.6429607387469958
The Lord of the Rings: The Two Towers,ARAGORN,3.052892601408829,4.997964194032834
The Lord of the Rings: The Two Towers,FRODO,-0.05848453259403887,-0.5166477676835398
The Lord of the Rings: The Two Towers,SAM,0.8304803628353519,0.27808866641194574
The Lord of the Rings: The Two Towers,GOLLUM,0.3859979151206565,-0.245363947155547
The Lord of the Rings: The Two Towers,THÉODEN,1.9416864821220903,1.5362625123380662
The Lord of the Rings: The Two Towers,GIMLI,1.9416864821220903,0.7134501728651342
The Lord of the Rings: The Two Towers,GANDALF,1.497204034407395,0.28215952471319333
The Lord of the Rings: The Two Towers,TREEBEARD,1.0527215866926996,0.7015031040773411
The Lord of the Rings: The Two Towers,SMÉAGOL,-0.7252082041660819,-0.6078630426181635
Soldier (1998 American film),SANDRA,2.2346186516626343,3.1285732288721335
Soldier (1998 American film),CHURCH,1.6869180017453225,1.21410987914582
Soldier (1998 American film),RUBRICK,1.4130676767866661,1.0217677242833363
Soldier (1998 American film),MACE,0.865367026869354,0.013267018534009637
Soldier (1998 American film),SLOAN,0.5915167019106976,-0.2693234376284615
Soldier (1998 American film),MEKUM,0.865367026869354,1.1477747864757715
Soldier (1998 American film),TODD,1.4130676767866661,1.6664619061703683
Soldier (1998 American film),SLADE,0.5915167019106976,1.009700067915906
Real Genius,CHRIS,3.4954916018296394,4.006169463967106
Real Genius,MITCH,2.9435718752249596,2.519208818439283
Real Genius,ATHERTON,3.4954916018296394,3.786578891216964
Real Genius,KENT,1.65575917981404,1.162317439340831
Below (film),ODELL,1.6313827145585045,1.8092643234498613
Below (film),BRICE,1.6313827145585045,1.7940971773658954
Below (film),CLAIRE,1.2144737986157754,0.7576592719753628
Below (film),LOOMIS,1.2144737986157754,1.962389099251913
Below (film),STUMBO,1.6313827145585045,2.544553910292185
Below (film),WEIRD WALLY,0.3806559667303176,-0.2625190626614899
Ed Wood (film),ED,6.605741455350819,7.999004892650234
Casablanca (film),RICK,3.9585239565646617,4.120520476708316
Casablanca (film),RENAULT,2.5019901417774078,1.7425821548627822
Casablanca (film),ILSA,1.2535325862454763,0.1633030204704947
Casablanca (film),LASZLO,2.0858376232667637,1.6519631575921918
"Crouching Tiger, Hidden Dragon",YU,1.8418291598486765,1.1990309837494904
"Crouching Tiger, Hidden Dragon",JEN,2.784566360150369,4.4299127503933216
"Crouching Tiger, Hidden Dragon",LI,1.8418291598486765,1.0785045296212403
"Crouching Tiger, Hidden Dragon",LO,-0.27932954083013084,-0.4172768181697312
Basquiat (film),BASQUIAT,6.333048639556932,6.923130358362722
Hesher (film),TJ,3.6102024071592154,4.588592345971243
Hesher (film),HESHER,1.2635708425057253,0.6569809460036438
Hesher (film),DAD,2.2022234683671216,1.2092174988549786
Hesher (film),NICOLE,0.7942445295750271,0.3543526076305305
Hesher (film),GRANDMA,0.5595813731096783,-0.07988596736110877
Edward Scissorhands,PEG,3.289519816032968,4.493943177359753
Edward Scissorhands,KIM,1.9255725752388104,1.9878552513071996
Edward Scissorhands,EDWARD,1.9255725752388104,1.1418541951117855
Edward Scissorhands,JIM,1.5358733635833368,1.4676546970671416
Edward Scissorhands,BILL,1.1461741519278634,0.2585356349481445
Annie Hall,ALVY,6.182873633943227,6.822180880780821
Annie Hall,ANNIE,2.6574050745135227,1.0771352987048142
Mission: Impossible (film),ETHAN,4.155254754138481,4.933766658369329
Mission: Impossible (film),PHELPS,1.4903122174736954,0.4686033768785331
Mission: Impossible (film),KITTRIDGE,1.248044714140533,0.9152559581168838
Wonderland (2003 film),JOHN,2.837194684292432,3.3439913889818564
Wonderland (2003 film),DAWN,1.5804507301763209,2.319966624162655
Wonderland (2003 film),RON,1.7899080558623397,1.9752339102867766
Wonderland (2003 film),DAVID,2.2088227072343765,2.4405984891516503
Monty Python and the Holy Grail,ARTHUR,6.4730320422079854,7.473570515713193
Eight Legged Freaks,SAM,2.314314029740834,2.5083451034470006
Eight Legged Freaks,CHRIS,1.834165890790453,1.2029035254727884
Eight Legged Freaks,MIKE,2.314314029740834,2.669027134783692
Eight Legged Freaks,ASHLEY,1.1139436823648825,0.2851772967438259
Eight Legged Freaks,WADE,1.1139436823648825,-0.036986179020784056
Frozen River,RAY,3.5318572660898253,4.271455363929759
Frozen River,LILA,2.5794463179307714,1.8330151365786096
Frozen River,T.J.,0.6746244216126633,-0.05914752038883785
Nurse Betty,BETTY,4.4078273664275756,5.718129773917843
Nurse Betty,CHARLIE,2.718416180688784,2.392770093580854
Nurse Betty,WESLEY,2.211592824967146,1.4504434328493268
Nurse Betty,GEORGE,1.1979461135238705,0.5113652461955329
Nurse Betty,ROSA,0.8600638763761124,0.03219528391119569
Win Win (film),MIKE,3.426616137055009,4.675944901535647
Win Win (film),JACKIE,1.4524340004801068,0.9678962831948938
Win Win (film),KYLE,1.4524340004801068,0.2966568172549628
Win Win (film),TERRY,2.044688641452577,1.607390848220481
Les Miserables (2012 film),VALJEAN,3.6910727232719083,5.882936860822141
Les Miserables (2012 film),MARIUS,3.2523225693735496,1.3101488764814877
Les Miserables (2012 film),JAVERT,2.3748222615768313,1.6490632968145311
Les Miserables (2012 film),THENARDIER,1.0585717998817545,0.9164817767557109
Les Miserables (2012 film),FANTINE,1.0585717998817545,3.6213950643355104
Les Miserables (2012 film),ENJOLRAS,2.5941973385260106,0.5011777415340481
The Goonies,Mikey,2.300754015874067,1.8900875906852206
The Goonies,Chunk,2.82497644987069,3.9870306654734446
The Goonies,Mouth,1.6017907705452366,0.8489258278034655
The Goonies,Brand,2.4754948272062745,3.2037935868229988
The Goonies,Data,1.4270499592130288,0.3880605714052513
Elf (film),BUDDY,4.556536726544227,5.769719171057832
Elf (film),WALTER,3.1493709727585095,2.105507447827885
Jimmy and Judy,JIMMY,3.1783800986069557,3.7102727523078083
Jimmy and Judy,JUDY,2.023445469752684,1.172288424645813
The Reader (2008 film),MICHAEL,3.7975002835235374,4.41913469190453
The Reader (2008 film),HANNA,1.9712215212183248,1.5909932350655136
The Reader (2008 film),JUDGE,1.4494275891311212,1.387229571074508
Phone Booth (film),STU,3.258155596261056,3.9320009480103253
Phone Booth (film),VOICE,1.7543914749097995,1.4126161871750298
Sweet Smell of Success,SIDNEY,5.850885557444378,7.499033638998728
Sweet Smell of Success,HUNSECKER,3.191392122242388,2.1068679296127306
Sweet Smell of Success,SUSAN,2.127594748161592,0.7105157370014914
Panther (film),JUDGE,2.811650757998065,2.2721159823221524
Panther (film),HUEY,3.3876962791488876,3.8748559424729665
Panther (film),TYRONE,3.1956811054319463,3.0064808328011714
Panther (film),BRIMMER,1.2755293682625366,0.5827318861276469
Panther (film),CY,1.0835141945455955,1.3901522926141443
The Roommate,SARA,2.6008600274503024,2.847001590772353
The Roommate,REBECCA,2.3041176082110058,2.4978155213516304
Wonder Boys (film),GRADY,4.341195643477617,4.961254079595944
Wonder Boys (film),JAMES LEER,0.8413169851700808,-0.03778387471249636
Life as a House,GEORGE,2.5862684018824,4.3356153682335785
Life as a House,SAM,2.0276344270758013,1.5392341449860936
Life as a House,ROBIN,1.8414231021402685,1.4994292472216457
Life as a House,ALYSSA,1.2827891273336707,0.32913978290632695
Drop Dead Gorgeous (film),AMBER,4.470043602574497,6.449783935931982
Drop Dead Gorgeous (film),GLADYS,2.750796063122768,2.1826722125233635
Drop Dead Gorgeous (film),LORETTA,0.26743850613693615,0.004755657339496751
Insomnia (2002 film),WILL,3.6789983244293993,4.803831336708412
Insomnia (2002 film),ELLIE,1.7052867769887343,0.4793001379197375
Wes Cravens New Nightmare,HEATHER,5.672999373697309,6.151531610633755
The Black Dahlia (film),BUCKY,6.397261010135334,7.4138206017277435
The Ugly Truth,ABBY,3.8978770331260395,3.682906329219155
The Ugly Truth,MIKE,4.246680347052307,4.779873202470099
Blade II,BLADE,2.7297836938629647,3.960352162212455
Blade II,WHISTLER,1.308235958945647,0.35696783438054114
Blade II,NYSSA,1.7820852039180866,1.4583316155208221
Blade II,SCUD,0.1236128465145488,-0.43220240267577775
Lethal Weapon,MURTAUGH,4.2625352850155664,4.438323223225594
Lethal Weapon,RIGGS,4.2625352850155664,4.444292648502914
Bound (film),VIOLET,2.1842601416525946,1.9308852477778986
Bound (film),CAESAR,1.8347785189881796,1.572899570321973
Bound (film),CORKY,1.8347785189881796,2.6021083930077586
Indiana Jones and the Last Crusade,INDY,4.605712727627641,5.554325459171545
Indiana Jones and the Last Crusade,HENRY,1.1161803804199641,0.007600530882766273
Die Hard,MCCLANE,3.4538212431351534,4.049132003744728
Die Hard,HANS,3.2285720316263395,3.1092805535256045
Die Hard,POWELL,2.327575185591082,2.8003334509419595
Star Trek: The Motion Picture,KIRK,3.5186099152167754,5.007582521976424
Star Trek: The Motion Picture,DECKER,1.193005078549894,-0.16519331021318465
Star Trek: The Motion Picture,SPOCK,1.404423700065065,0.1240162954139267
Young Frankenstein,FREDDY,5.185871492322486,6.337074364252071
Young Frankenstein,IGOR,2.471291846958617,1.0657768226778368
50-50 (2011 film),ADAM,5.519880739936194,6.141630671006611
Super 8 (film),JOE,4.1018973864922765,4.652377373479594
Super 8 (film),CHARLES,3.6004114991154776,3.4680139149001867
Super 8 (film),CARY,1.594467949608283,0.3770196997269035
Super 8 (film),JACK,2.0959538369850814,3.404940835779115
Super 8 (film),ALICE,1.9287918745261485,0.832061216974836
Hard Rain (film),TOM,4.641459613021752,6.060500042028287
Hard Rain (film),JIM,3.609459282853716,3.3116472845946547
Hard Rain (film),SHERIFF,1.5454586225176477,0.9944840052720931
Hard Rain (film),KAREN,1.692887241113081,0.2529396213634071
Snatch (film),SOL,1.514855317995929,1.1285497263723872
Snatch (film),TURKISH,2.4679099882582687,2.49783790300054
Snatch (film),VINNY,1.8960771861008647,1.6713932412381107
Snatch (film),BTT,2.0866881201533327,2.4724760220122906
Snatch (film),BRICK TOP,1.705466252048397,2.2887412601664305
Snatch (film),HANDS,2.2772990542058005,2.7908196075349303
Snatch (film),TOMMY,0.9430225158385254,-0.006087410238396624
Snatch (film),DOUG,0.5618006477335895,0.6175230336510551
Snatch (film),MICKY,0.7524115817860575,0.5496499628643474
Snow White and the Huntsman,ERIC,3.2495994330421714,4.313560511843643
Snow White and the Huntsman,SNOW WHITE,2.403549876510482,1.7420932792867898
Snow White and the Huntsman,RAVENNA,1.980525098244637,2.6996351901258393
Snow White and the Huntsman,FINN,0.922963152580025,0.5778928596882669
Erin Brockovich (film),ERIN,4.970504324956081,5.754013446146525
Erin Brockovich (film),ED,2.572364093946343,1.0384293439918901
Passenger 57,CUTTER,2.796896912790584,2.8778844072324983
Passenger 57,WOLFGANG,3.213914961484296,4.121154666430419
Passenger 57,MARTI,0.5032976449751695,-0.23342232262712592
Passenger 57,SLY,0.9203156936688811,0.5736476585725329
Sunshine Cleaning,ROSE,3.846095790563292,4.677298198921901
Sunshine Cleaning,NORAH,1.9831431420091974,1.4036366288791315
Sunshine Cleaning,JOE,2.2492792346597827,1.9442743428319162
Clerks,DANTE,4.438860626545484,4.776058981801081
Clerks,RANDAL,3.3349554969072095,2.615377021412612
Top Gun,MAVERICK,3.12753437750167,3.190353245536112
Top Gun,CHARLIE,0.11921095160880815,-0.34857107819888966
Top Gun,GOOSE,3.12753437750167,3.8269845490571175
The Curse of the Cat People,AMY,2.9832172975657714,4.2499997082296135
The Curse of the Cat People,OLIVER,1.9530415401329868,1.2071473067549343
The Curse of the Cat People,ALICE,1.9530415401329868,1.2231617750096375
The Curse of the Cat People,MRS. FARREN,0.40777790398381053,-0.08726977005906646
The Curse of the Cat People,EDWARD,0.6653218433420065,0.4071504483451213
