film,main_char,degree,betweenness
Up (2009 film),CARL,3.0422660939230273,3.3179993905917815
Star Trek: Nemesis,PICARD,2.7039711202795336,4.300268906202807
The Searchers (film),ETHAN,3.6630074163587354,4.792947071237757
Bad Dreams (film),CYNTHIA,3.7547086812632284,5.134788522003748
A Dry White Season,BEN,5.305603961523535,6.557245372702149
The Night of the Hunter (film),PREACHER,5.484272272901665,6.617730587287057
Extract (film),JOEL,3.0290849196146628,3.6783730740833125
Shifty (film),SHIFTY,2.1505813167606562,2.9690988663737174
Erik the Viking,ERIK,4.464807033346285,6.6049974657775286
Superbad (film),SETH,3.6401911476330095,4.658133459948265
Purple Rain (film),VANITY,2.765054224039459,2.6118183029354265
Goldfinger (film),BOND,5.753618358176687,6.478227586556705
Hider in the House (1989 film),JULIE,2.9232429780903195,2.958623736959897
Withnail and I,Withnail,1.8708286933869707,1.8708286933869707
Sleepy Hollow (film),ICHABOD,4.02399541618857,5.083588032528191
Death at a Funeral (2010 film),AARON,1.5778744196381722,3.4061753330329707
Mr. Blandings Builds His Dream House,JIM,4.170978161478362,4.979462295830763
Hudson Hawk,HAWK,4.595556732012056,5.847057445595593
Mary Poppins (film),Mr. Banks,2.005663348879218,1.4103471395475966
The Private Life of Sherlock Holmes,HOLMES,3.7630210837841576,4.3614095227248315
Fight Club,JACK,5.1094056341614955,5.457479718114239
Halloween II (1981 film),LOOMIS,2.5863449746444984,4.003976638298121
The Butterfly Effect,EVAN,4.160792607418834,4.96163899306385
Limitless,EDDIE,5.5716228356735185,5.727026598458252
Batman (1989 film),VICKI,2.4127831711996737,1.426812580446184
Kalifornia,EARLY,2.957625717005406,2.972352420179422
Midnight Run,WALSH,3.75069461136335,4.791771500272902
Boogie Nights,DIRK,4.28801241163971,5.721969164138587
Resident Evil (film),ALICE,3.003856596748136,4.20431530492993
We Own the Night (film),BOBBY GREEN,4.900834354311278,5.896543027617702
Buried (film),PAUL,3.8146448263914627,3.872888087619968
Ace Ventura: Pet Detective,ACE,5.495799346257413,6.0841850441176515
Supergirl (film),SELENA,3.3313513921383473,4.201077004468271
The Old Dark House,PENDEREL,1.120631051456443,0.680594361688992
Observe and Report,RONNIE,4.36550322848353,4.9651358702718085
Deep Rising,FINNEGAN,2.828862501817151,3.982145164143699
The Crow (film),ERIC,4.884915720248945,5.953378314684686
The Bourne Ultimatum (film),VOSEN,3.347249861102852,3.703798047066754
After.Life,ELIOT,3.8674198672975826,3.929043758728563
The Jacket,STARKS,4.508617686558952,5.0298018473958095
Blade (film),BLADE,3.6948187226518203,4.188784724241691
Aladdin (1992 Disney film),ALADDIN,2.5200119290787866,3.916594708998658
The Craft (film),Sarah,2.8347335475692046,3.1716238092842386
The NeverEnding Story (film),Atreyu,2.686188704484025,2.714305803946344
Wild at Heart (film),LULA,4.197713667739144,4.8402394296512785
Detroit Rock City (film),HAWK,3.5463809943404185,4.363562878099315
One Eight Seven,TREVOR,4.249038505782795,5.117819049827552
Jaws: The Revenge,MICHAEL,2.396645372534123,2.149275224008438
Virtuosity,PARKER,5.199848485330005,5.803995739173983
Buffy the Vampire Slayer (film),BUFFY,3.731012536223183,4.547809735281945
M (1931 film),SCHRNKER,2.385288755367614,0.7004060533758333
Klute,BREE,3.9798224604582413,4.360918555981892
The Fly (1986 film),VERONICA,1.7056057308448833,1.7585556861719391
Aliens (film),RIPLEY,2.5810953210830325,4.012164918527146
Ticker (2001 film),REILLY,4.011269222769497,4.380057647805722
Bonnie and Clyde (film),CLYDE,2.532131663347696,3.1815831896262954
The Majestic (film),PETE,4.030993462776047,4.964326953015595
Ghostbusters,RAY,2.5184800843929405,2.8139858798104767
I Am Legend (film),NEVILLE,4.470587190267513,4.818582298324179
Pet Sematary Two,CHASE,2.801532576294156,3.892802498434956
Manhunter (film),GRAHAM,5.623142673397778,6.202878553446724
The Grapes of Wrath (film),TOM,5.379559896887009,6.7686508309867035
Next Friday,CRAIG,2.723290108100042,3.8041029097153523
A Hard Days Night (film),PAUL,1.3131706185258916,0.5801336550258358
Life of Pi (film),PI,2.6830070616328046,2.301221322257396
An Education,JENNY,2.4545454545454546,3.089763343124541
Contact (1997 film),ELLIE,5.756233027459763,6.6541821643193355
Hannah and Her Sisters,HOLLY,2.3173796885430886,2.3077840923330393
Gran Torino,WALT,4.783729338122174,5.292298968971602
Black Snake Moan (film),LAZARUS,3.318223132613336,3.5650502711753833
A Perfect World,BUTCH,4.975227541675031,6.435540806073683
Existenz,PIKUL,2.6278148227179265,3.0692390970555135
Gattaca,JEROME,3.52052095528633,4.412099245341144
G.I. Jane,JORDAN,3.417430630867045,4.937546044723789
Air Force One (film),MARSHALL,5.441558968783032,7.0492454358201755
Predator (film),SCHAEFER,2.4431731258216858,3.288359276233211
The Kingdom (film),RONALD FLEURY,3.934756729906998,5.39196988259801
Rocky,ROCKY,4.713489616667141,5.586005128265712
Fantastic Four (film),REED,1.931388919377642,1.7653195948058387
Pariah (2011 film),ALIKE,2.6727090178274002,3.3460880131353394
Sexual Life,SARAH,0.8218892918344466,0.5212763441778244
Avatar (2009 film),JAKE,2.589425505966851,3.758389376119296
Crank (film),CHEV,5.707858243551515,7.492985800511632
Pleasantville (film),DAVID,5.49217201458617,6.8859325825618205
Apocalypse Now,WILLARD,4.626985724812808,5.798197554119506
The Assignment (1997 film),RAMIREZ,3.8428396967112115,4.8373849645245715
Viridiana,VIRIDIANA,4.313466801845404,5.780188834871854
The Godfather,MICHAEL,4.025955005587912,5.336248930414071
Arbitrage (film),ROBERT,4.406174049791286,5.208578696346704
The Miracle Worker (1962 film),KATE,2.2079402165819615,2.07090796362717
Ghost Ship (2002 film),MURPHY,3.1063389463066726,4.170419998402119
The Horse Whisperer (film),ANNIE,3.4365881793660815,4.552433870709353
Snow Falling on Cedars (film),ISHMAEL,3.4058544240728565,4.947076661684534
Lord of War,YURI,4.814437448655852,5.346908205879015
The Box (2009 film),NORMA,3.232585472297832,3.6715093755166275
Hes Just Not That Into You (film),GIGI,3.545251748820315,5.096426669999029
The Imaginarium of Doctor Parnassus,VALENTINA,2.1300480832615643,2.0365235231462444
Chasing Sleep,ED,3.470863756106551,3.923604171601903
The Sessions (film),MARK,3.9000674757995495,4.555044655942145
Amour (2012 film),GEORGES,2.9586910517534655,3.632640056173679
The Addams Family (film),GOMEZ,1.915835321293934,2.9933546268375193
Portrait of Jennie,ADAMS,5.174529696093894,5.498972913429244
The American (2010 film),JACK,3.9162837111870323,4.4488699284230355
Easy A,OLIVE,5.3260032069486964,5.560864654850679
When a Stranger Calls (1979 film),JILL,2.530149923421186,2.8643842318029757
Hellboy (film),HELLBOY,2.266148148831489,1.729306167345122
The Rescuers Down Under,Wilbur,1.7421268134971453,2.225515610866598
Mr. Deeds Goes to Town,LONGFELLOW,5.297211176408252,6.3972941341273035
Die Hard 2,MCCLANE,4.737668223017036,6.16853552050287
Freddy vs. Jason,MEAGAN,4.240106033951964,5.468932655548049
Joe Versus the Volcano,JOE,4.3121956024362715,4.656790486785712
"Crazy, Stupid, Love.",CAL,4.0093318979652,5.009625438038385
The Ruins (film),JEFF,2.6448147066416863,2.2336408546581197
The Bourne Supremacy (film),BOURNE,4.580364432561021,5.105502666570393
Arctic Blue,ERIC,1.9721672752391661,2.593396967635289
Kill Bill Volume 1,THE BRIDE,6.163575731321369,7.1119390650859025
Ordinary People,CONRAD,2.7809764659777163,2.873648932118609
Big Fish,EDWARD,4.393010508638847,4.881884193023514
Mulan (1998 film),Mulan,2.500160766535004,3.9442957402181773
The Best Exotic Marigold Hotel,EVELYN,2.6216259191703846,2.751586898629498
The Shipping News (film),QUOYLE,4.487024482250898,5.228921988140399
The Whistleblower,KATHY,6.550357271576027,7.210876476723964
Idiocracy,JOE,5.24281028814738,5.798443854744815
Max Payne (film),MAX,3.9585141049231787,5.194855360501616
Analyze That,BEN,3.007698713838173,1.6743219079252085
Mystery Men,FURIOUS,3.1531744797848065,2.9473448725475615
Kafka (film),KAFKA,5.593604943822382,6.0791337098647436
Stir of Echoes,TOM,4.256153104990901,5.1435903192670285
Kids (film),TELLY,2.892869203074149,2.339590964108215
Rambo: First Blood Part II,RAMBO,2.1403780680318314,2.941221097138595
The Mummy (1999 film),O'CONNELL,2.5149255057359445,3.4889653969397427
Drive (2011 film),DRIVER,3.13070344322432,3.997172493413564
Babel (film),RICHARD,5.027217000762135,6.134317670668495
The Saint (film),TEMPLAR,5.815290236819535,5.971530536823747
Moon (film),GERTY,1.6681153124565977,1.441569619870229
Drive Angry,MILTON,3.6365007811128653,3.897635896147657
Bloodfist VII: Manhunt,JIM,2.3426064283290904,2.717349060451185
The Invention of Lying,MARK,5.9678097870638425,6.231660925035901
Millers Crossing,HIS POV,2.5354627641855503,2.3926766818358027
Burning Annie,MAX,2.68247506571948,3.9382116861674024
"Sex, Lies, and Videotape",ANN,1.1180339887498947,0.5887015554940623
The Kids Are All Right (film),JULES,1.7965355221792083,1.8008998766944193
Theres Something About Mary,TED,3.315369206441256,3.7606276509296945
Seven (film),SOMERSET,3.581130440188235,3.6337266720204227
The Bachelor Party,CHARLIE,2.0027096611802757,2.1132357589426602
Hellraiser: Deader,AMY,4.255101352725733,4.896145491046856
Do the Right Thing,MOOKIE,4.372836374308005,4.6193894577142185
Gremlins,BILLY,5.727457182856461,6.334589128700039
Freaked,RICK,5.195581433916456,6.125390146309434
Five Easy Pieces,BOBBY,4.217994762991983,5.218123880165732
Dog Day Afternoon,SONNY,5.181233780311262,6.5868643821909245
Bad Boys (1995 film),BURNETT,3.692871713897659,4.257918063744203
The Doors (film),JIM,6.461868339540425,7.839285776389679
Boiler Room (film),SETH,4.350117567831659,5.692431530626646
Burlesque (2010 American film),ALI,5.41073420963187,6.39431778962722
G.I. Joe: The Rise of Cobra,DUKE,1.592842520417057,1.6423739515058782
Hellboy II: The Golden Army,HELLBOY,2.543631929970054,3.1596195089673778
A Nightmare on Elm Street 4: The Dream Master,ALICE,2.5337032178031103,3.7044422884973254
Cool Hand Luke,DRAGLINE,3.9824773518657417,4.125784523905117
Leviathan (1989 film),BECK,3.727056520529873,5.254262925644908
Apt Pupil (film),TODD,2.7204806980433425,3.5147444116788193
Pet Sematary (film),LOUIS,2.0154016077712074,1.6155890610812966
Last Chance Harvey,HARVEY,4.188449812453584,4.819795250642647
XXX (film),XANDER,3.8102563398275744,4.317384277252693
The Power of One (film),PK,4.595084187937459,5.404858965300361
Troops (film),DAEMOND,0.5773502691896255,
Silverado (film),PADEN,2.350320903776905,2.7595138955773093
The Swimmer (1968 film),NED,6.133725976224577,6.267292435661454
Perfect Creature,LILLY,2.2302981001403155,1.7911174564591894
The Producers (1968 film),BIALYSTOCK,5.513827967081918,6.00893323752995
Napoleon Dynamite,Napoleon,2.448564534159886,3.005784673666402
Hard to Kill,STORM,4.318247361369263,5.037003207652953
Bad Santa,WILLIE,3.786909082945036,4.542982725453037
Panic Room,MEG,2.5253432421288866,3.0283906028264886
Heavy Metal (film),PILOT,3.0505578832283535,0.4069190439001163
Sleepless in Seattle,SAM,3.333974297349129,3.588388266546001
The Wizard of Oz (1939 film),DOROTHY,5.047194096180826,5.817568352015137
Zerophilia,LUKE,1.6337989813774068,2.7543213521083496
Defiance (2008 film),TUVIA,4.764029535705918,6.563176428296187
Pirates of the Caribbean: The Curse of the Black Pearl,JACK,2.3627260160255834,2.042364772386262
Priest (2011 film),PRIEST,3.762100298076366,4.0953750374159394
Misery (film),ANNIE,2.7363522730774696,2.8682918260847505
Slither (2006 film),BILL,2.66753622761092,2.5360940385889177
A Few Good Men,KAFFEE,3.442413799350311,4.542172787544323
Black Rain (1989 American film),NICK,4.86915634102966,5.537448717720643
The Game (1997 film),SCHUYLER,5.181791595354108,5.384687007365799
Colombiana,CAT,4.168694157254197,5.220525883334215
Indiana Jones and the Kingdom of the Crystal Skull,INDIANA,4.602873089491617,5.130264377424675
The Evil Dead,ASHLY,,
Star Trek Generations,PICARD,3.2291886867242807,4.49348144814339
The Hebrew Hammer,HAMMER,4.725815626252609,5.731826805632432
