film,main_char,gender,top_topic
The Doom Generation,amy,1.0,8
The Doom Generation,jordan,1.0,8
The Doom Generation,xavier,1.0,8
The Elephant Man (film),treves,0.0,9
The Elephant Man (film),merrick,0.0,4
Groundhog Day (film),phil,0.0,3
Groundhog Day (film),rita,0.0,1
Hot Tub Time Machine,adam,0.0,3
Hot Tub Time Machine,lou,1.0,1
Hot Tub Time Machine,nick,0.0,3
Hot Tub Time Machine,jacob,0.0,3
Basic (film),hardy,0.0,1
Basic (film),osborne,0.0,1
Basic (film),dunbar,0.0,1
Basic (film),kendall,0.0,1
Spartan (film),scott,0.0,1
Inglourious Basterds,col landa,0.0,5
Inglourious Basterds,bridget,0.0,5
Inglourious Basterds,fredrick,0.0,1
The Brothers Bloom,bloom,1.0,4
The Brothers Bloom,stephen,0.0,4
The Brothers Bloom,penelope,1.0,4
Star Wars Episode II: Attack of the Clones,anakin,0.0,1
Star Wars Episode II: Attack of the Clones,padmé,1.0,1
Star Wars Episode II: Attack of the Clones,padme,1.0,1
Tron: Legacy,rush,0.0,7
Tron: Legacy,flynn,0.0,7
Tron: Legacy,mega,0.0,7
The Proposal (film),margaret,1.0,1
The Proposal (film),richard,0.0,1
It Happened One Night,peter,0.0,9
It Happened One Night,ellie,1.0,9
It Happened One Night,andrews,1.0,9
Ali (film),ali,0.0,8
Catch Me If You Can,frank,0.0,3
Catch Me If You Can,joe shaye,0.0,6
Never Been Kissed,josie,1.0,10
Days of Heaven,bill,0.0,1
Days of Heaven,abby,1.0,1
Days of Heaven,chuck,0.0,1
Waxwork (film),mark,0.0,4
Waxwork (film),sarah,1.0,1
Waxwork (film),china,1.0,3
I Am Number Four (film),john,0.0,4
I Am Number Four (film),henri,0.0,4
I Am Number Four (film),sarah,1.0,4
MASH (film),hawkeye,0.0,1
MASH (film),duke,1.0,1
MASH (film),trapper,0.0,1
Rush Hour 2,carter,0.0,1
Rush Hour 2,lee,0.0,1
Spare Me (film),theo,1.0,1
Spare Me (film),sheila,1.0,1
Spare Me (film),buzz,0.0,8
Spare Me (film),kastle,0.0,4
The Other Boleyn Girl (2008 film),mary,1.0,5
The Other Boleyn Girl (2008 film),anne,1.0,5
The Other Boleyn Girl (2008 film),henry,0.0,5
The Other Boleyn Girl (2008 film),sir thomas,0.0,5
The Other Boleyn Girl (2008 film),a,0.0,4
The Other Boleyn Girl (2008 film),m,1.0,4
Quills,the marquis,0.0,4
Quills,madeleine,1.0,4
The Body Snatcher (film),macfarlane,0.0,1
The Body Snatcher (film),fettes,0.0,1
The Body Snatcher (film),gray,0.0,1
Hackers (film),dade,0.0,1
Hackers (film),kate,1.0,1
Hackers (film),plague,0.0,1
Hackers (film),cereal,1.0,3
Hackers (film),phreak,0.0,3
The 13th Floor (1988 film),douglas,0.0,1
15 Minutes,jordy,0.0,4
15 Minutes,eddie,1.0,1
15 Minutes,emil,0.0,4
15 Minutes,nicolette,1.0,1
15 Minutes,oleg,0.0,3
The Ice Storm (film),ben,0.0,1
The Ice Storm (film),elena,1.0,1
The Ice Storm (film),wendy,1.0,1
The Ice Storm (film),paul,0.0,1
Badlands (film),kit,1.0,1
Badlands (film),holly,0.0,1
The Four Feathers (2002 film),durrance,0.0,4
The Four Feathers (2002 film),ethne,1.0,4
Rabid,read,0.0,1
Rabid,keloid,0.0,1
Rabid,rose,1.0,1
Rabid,cypher,1.0,1
Rabid,walsh,1.0,1
Next (2007 film),cris,1.0,1
Next (2007 film),liz,1.0,1
Next (2007 film),ferris,0.0,4
Saga of a Star World,skyler,1.0,7
Saga of a Star World,starbuck,0.0,1
Saga of a Star World,adama,0.0,7
Saga of a Star World,lyra,1.0,4
Roughshod (film),clay,1.0,9
Roughshod (film),mary,1.0,9
Roughshod (film),steve,0.0,9
Roughshod (film),helen,1.0,9
Rachel Getting Married,kym,0.0,3
Rachel Getting Married,rachel,1.0,3
Rachel Getting Married,paul,0.0,3
LAvventura,sandro,1.0,1
LAvventura,claudia,1.0,1
LAvventura,patrizia,1.0,1
17 Again (film),mike,0.0,3
17 Again (film),ed,0.0,3
Day of the Dead (1985 film),john,0.0,4
