film,main_char,gender,top_topic
Day of the Dead (1985 film),rhodes,0.0,4
Day of the Dead (1985 film),toby,0.0,2
Day of the Dead (1985 film),mary,1.0,2
Day of the Dead (1985 film),sarah,1.0,4
Day of the Dead (1985 film),gasparilla,1.0,8
Day of the Dead (1985 film),logan,0.0,4
Day of the Dead (1985 film),chico,0.0,4
Day of the Dead (1985 film),miguel,1.0,4
Interview with the Vampire: The Vampire Chronicles,louis,1.0,4
Interview with the Vampire: The Vampire Chronicles,lestat,1.0,4
Interview with the Vampire: The Vampire Chronicles,claudia,1.0,4
Runaway Bride (1999 film),maggie,1.0,1
Runaway Bride (1999 film),ike,0.0,3
The Village (2004 film),ivy,1.0,4
The Village (2004 film),edward,0.0,5
The Village (2004 film),lucius,0.0,5
Notting Hill (film),william,0.0,1
Notting Hill (film),anna,1.0,1
The Lord of the Rings: The Two Towers,aragorn,0.0,4
The Lord of the Rings: The Two Towers,frodo,0.0,4
The Lord of the Rings: The Two Towers,sam,0.0,4
The Lord of the Rings: The Two Towers,gollum,0.0,4
The Lord of the Rings: The Two Towers,théoden,0.0,4
The Lord of the Rings: The Two Towers,gimli,0.0,4
The Lord of the Rings: The Two Towers,gandalf,0.0,4
The Lord of the Rings: The Two Towers,treebeard,0.0,4
Soldier (1998 American film),sandra,1.0,4
Soldier (1998 American film),church,0.0,4
Soldier (1998 American film),mace,0.0,4
Soldier (1998 American film),sloan,0.0,4
Soldier (1998 American film),todd,0.0,4
Soldier (1998 American film),slade,0.0,4
Real Genius,chris,0.0,1
Real Genius,mitch,0.0,1
Real Genius,atherton,0.0,1
Real Genius,kent,1.0,1
Below (film),odell,0.0,7
Below (film),brice,0.0,7
Below (film),claire,1.0,1
Below (film),loomis,0.0,7
Below (film),stumbo,0.0,8
Below (film),weird wally,0.0,7
Ed Wood (film),ed,0.0,1
Casablanca (film),rick,0.0,9
Casablanca (film),renault,1.0,9
Casablanca (film),ilsa,1.0,1
Casablanca (film),laszlo,0.0,9
"Crouching Tiger, Hidden Dragon",yu,0.0,5
"Crouching Tiger, Hidden Dragon",jen,1.0,1
"Crouching Tiger, Hidden Dragon",li,1.0,5
"Crouching Tiger, Hidden Dragon",lo,1.0,1
Basquiat (film),basquiat,0.0,1
Hesher (film),tj,0.0,3
Hesher (film),dad,0.0,3
Hesher (film),nicole,1.0,3
Hesher (film),grandma,1.0,3
Edward Scissorhands,peg,1.0,1
Edward Scissorhands,kim,1.0,1
Edward Scissorhands,edward,0.0,1
Edward Scissorhands,jim,0.0,1
Edward Scissorhands,bill,0.0,1
Annie Hall,alvy,0.0,1
Annie Hall,annie,1.0,1
Mission: Impossible (film),ethan,0.0,4
Mission: Impossible (film),phelps,0.0,4
Mission: Impossible (film),kittridge,0.0,4
Wonderland (2003 film),john,0.0,1
Wonderland (2003 film),dawn,1.0,4
Wonderland (2003 film),ron,0.0,4
Wonderland (2003 film),david,0.0,3
Monty Python and the Holy Grail,arthur,0.0,5
Eight Legged Freaks,sam,0.0,1
Eight Legged Freaks,chris,0.0,1
Eight Legged Freaks,mike,0.0,1
Eight Legged Freaks,ashley,0.0,1
Eight Legged Freaks,wade,0.0,1
Frozen River,ray,0.0,3
Frozen River,lila,1.0,2
Frozen River,t.j.,0.0,3
Nurse Betty,betty,1.0,1
Nurse Betty,charlie,1.0,1
Nurse Betty,wesley,0.0,1
Nurse Betty,george,0.0,1
Nurse Betty,rosa,1.0,1
Win Win (film),mike,0.0,1
Win Win (film),jackie,1.0,1
Win Win (film),kyle,0.0,1
Win Win (film),terry,0.0,1
Les Miserables (2012 film),valjean,0.0,5
Les Miserables (2012 film),marius,0.0,5
Les Miserables (2012 film),javert,1.0,5
Les Miserables (2012 film),fantine,1.0,5
Les Miserables (2012 film),enjolras,0.0,5
The Goonies,mikey,0.0,4
The Goonies,chunk,1.0,4
The Goonies,mouth,0.0,1
The Goonies,brand,1.0,4
The Goonies,data,0.0,4
Elf (film),buddy,0.0,3
Elf (film),walter,0.0,1
Jimmy and Judy,jimmy,0.0,3
Jimmy and Judy,judy,1.0,1
The Reader (2008 film),michael,0.0,9
The Reader (2008 film),hanna,0.0,9
The Reader (2008 film),judge,1.0,6
Phone Booth (film),stu,0.0,1
Phone Booth (film),voice,1.0,1
Sweet Smell of Success,sidney,1.0,1
Sweet Smell of Success,hunsecker,1.0,1
Sweet Smell of Success,susan,1.0,1
Panther (film),judge,1.0,8
Panther (film),huey,0.0,8
Panther (film),tyrone,0.0,4
Panther (film),brimmer,0.0,8
Panther (film),cy,0.0,4
The Roommate,sara,1.0,3
The Roommate,rebecca,1.0,3
Wonder Boys (film),grady,0.0,4
Wonder Boys (film),james leer,0.0,1
Life as a House,george,0.0,3
Life as a House,sam,0.0,3
Life as a House,robin,0.0,3
Life as a House,alyssa,1.0,3
Drop Dead Gorgeous (film),amber,1.0,3
Drop Dead Gorgeous (film),gladys,1.0,3
Drop Dead Gorgeous (film),loretta,1.0,3
Insomnia (2002 film),will,0.0,4
Insomnia (2002 film),ellie,1.0,4
Wes Cravens New Nightmare,heather,1.0,4
The Black Dahlia (film),bucky,0.0,6
The Ugly Truth,abby,1.0,3
The Ugly Truth,mike,0.0,3
Blade II,blade,0.0,4
Blade II,whistler,0.0,4
Blade II,nyssa,1.0,4
Blade II,scud,0.0,4
Lethal Weapon,murtaugh,0.0,8
Lethal Weapon,riggs,0.0,8
Bound (film),violet,1.0,4
Bound (film),caesar,0.0,4
Bound (film),corky,0.0,4
Indiana Jones and the Last Crusade,indy,0.0,4
Indiana Jones and the Last Crusade,henry,0.0,4
Die Hard,mcclane,0.0,4
Die Hard,hans,0.0,2
Die Hard,powell,0.0,4
Star Trek: The Motion Picture,kirk,0.0,7
Star Trek: The Motion Picture,decker,1.0,7
Star Trek: The Motion Picture,spock,0.0,7
Young Frankenstein,freddy,0.0,9
Young Frankenstein,igor,0.0,4
50-50 (2011 film),adam,0.0,1
Super 8 (film),joe,0.0,4
Super 8 (film),charles,1.0,4
Super 8 (film),cary,1.0,4
Super 8 (film),jack,0.0,1
Super 8 (film),alice,1.0,4
Hard Rain (film),tom,0.0,4
Hard Rain (film),jim,0.0,4
Hard Rain (film),sheriff,0.0,1
Hard Rain (film),karen,1.0,4
Snatch (film),sol,0.0,4
Snatch (film),turkish,0.0,4
Snatch (film),vinny,0.0,4
Snatch (film),btt,0.0,4
Snatch (film),brick top,1.0,4
Snatch (film),hands,1.0,4
Snatch (film),tommy,0.0,1
Snatch (film),doug,0.0,1
Snatch (film),micky,1.0,8
Snow White and the Huntsman,eric,0.0,4
Snow White and the Huntsman,snow white,1.0,4
Snow White and the Huntsman,ravenna,1.0,4
Snow White and the Huntsman,finn,0.0,4
Erin Brockovich (film),erin,1.0,1
Erin Brockovich (film),ed,0.0,1
Passenger 57,cutter,0.0,4
Passenger 57,wolfgang,0.0,4
Passenger 57,marti,0.0,1
Passenger 57,sly,1.0,1
Sunshine Cleaning,rose,1.0,3
Sunshine Cleaning,norah,1.0,3
Sunshine Cleaning,joe,0.0,3
Clerks,dante,0.0,1
Clerks,randal,0.0,1
Top Gun,maverick,0.0,1
Top Gun,charlie,1.0,1
Top Gun,goose,1.0,4
The Curse of the Cat People,amy,1.0,9
The Curse of the Cat People,oliver,0.0,9
The Curse of the Cat People,alice,1.0,9
The Curse of the Cat People,mrs. farren,1.0,4
The Curse of the Cat People,edward,0.0,9
Rent (film),roger,0.0,1
Rent (film),mark,0.0,1
Rent (film),mimi,1.0,1
Rent (film),collins,1.0,1
Rent (film),joanne,0.0,1
Rent (film),maureen,1.0,1
Rent (film),benny,0.0,1
Rent (film),angel,1.0,1
Its Complicated (film),jane,1.0,1
Its Complicated (film),jake,0.0,1
Its Complicated (film),adam,0.0,1
Gone in 60 Seconds (2000 film),memphis,1.0,3
Gone in 60 Seconds (2000 film),kip,0.0,4
Sugar (2008 film),miguel,1.0,3
Remember Me (2010 film),tyler,1.0,3
Remember Me (2010 film),ally,1.0,3
Remember Me (2010 film),aidan,0.0,3
The Godfather Part II,michael,0.0,1
The Godfather Part II,hagen,0.0,1
The Godfather Part II,fredo,0.0,1
The Godfather Part II,pentangeli,1.0,1
The Adjustment Bureau,david,0.0,1
The Adjustment Bureau,elise,1.0,1
44 Inch Chest,archie,1.0,8
44 Inch Chest,mal,0.0,8
44 Inch Chest,colin,0.0,1
44 Inch Chest,omp,1.0,8
44 Inch Chest,meredith,0.0,1
What Lies Beneath,claire,1.0,1
What Lies Beneath,norman,0.0,1
Independence Day (1996 film),david,0.0,7
Independence Day (1996 film),steve,0.0,4
Independence Day (1996 film),president,0.0,7
Independence Day (1996 film),general grey,0.0,7
Independence Day (1996 film),constance,1.0,1
Independence Day (1996 film),moishe,0.0,1
Independence Day (1996 film),jasmine,1.0,4
Network (film),diana,1.0,6
Network (film),max,0.0,1
Network (film),howard,0.0,6
Network (film),hackett,0.0,6
Frances (film),frances,1.0,1
Frances (film),harry,0.0,1
Superman IV: The Quest for Peace,lex,0.0,4
Superman IV: The Quest for Peace,clark,0.0,1
Superman IV: The Quest for Peace,lacy,1.0,1
Superman IV: The Quest for Peace,lois,1.0,4
Superman IV: The Quest for Peace,superman,0.0,5
Superman IV: The Quest for Peace,lenny,0.0,1
Lost in America,david,0.0,1
Lost in America,nancy,1.0,1
The Hudsucker Proxy,norville,1.0,9
The Hudsucker Proxy,amy,1.0,1
Children of Men,theo,1.0,4
Children of Men,kee,1.0,4
Leaving Las Vegas,ben,0.0,8
Leaving Las Vegas,sera,1.0,8
Fright Night,charley,0.0,4
Fright Night,peter,0.0,4
Fright Night,amy,1.0,4
The Green Mile (film),paul,0.0,4
The Green Mile (film),coffey,0.0,4
Who Framed Roger Rabbit,valiant,0.0,4
Who Framed Roger Rabbit,roger rabbit,0.0,4
Dexter (episode),debra,1.0,6
Dexter (episode),laguerta,1.0,6
Dexter (episode),harry,0.0,1
Dexter (episode),rita,0.0,4
Star Wars Episode III: Revenge of the Sith,anakin,0.0,7
Star Wars Episode III: Revenge of the Sith,padme,1.0,7
Star Wars Episode III: Revenge of the Sith,palpatine,0.0,7
I Love You Phillip Morris,steven,0.0,3
I Love You Phillip Morris,phillip,0.0,1
Bad Lieutenant,lt,0.0,8
Vanilla Sky,david,0.0,1
Vanilla Sky,sofia,1.0,1
Only You (1994 film),faith,0.0,1
Only You (1994 film),kate,1.0,1
Only You (1994 film),peter,0.0,1
Tall in the Saddle,rocklin,0.0,9
Tall in the Saddle,dave,0.0,9
Tall in the Saddle,arly,0.0,9
Station West,haven,0.0,9
Station West,charlie,1.0,9
Book of Shadows: Blair Witch 2,cotter,0.0,4
Book of Shadows: Blair Witch 2,heather,1.0,4
Book of Shadows: Blair Witch 2,nick,0.0,4
Book of Shadows: Blair Witch 2,anna,1.0,4
Book of Shadows: Blair Witch 2,domini,1.0,4
At First Sight,virgil,0.0,4
At First Sight,amy,1.0,4
The Iron Lady (film),margaret,1.0,9
The Iron Lady (film),denis,0.0,9
Absolute Power (film),luther,0.0,4
Absolute Power (film),seth,0.0,1
Absolute Power (film),kate,1.0,1
Absolute Power (film),richmond,0.0,4
Absolute Power (film),russell,0.0,9
Absolute Power (film),walter sullivan,0.0,1
Romeo + Juliet,romeo,0.0,4
Romeo + Juliet,juliet,1.0,5
Romeo + Juliet,mercutio,1.0,4
Romeo + Juliet,benvolio,1.0,5
Romeo + Juliet,father laurence,0.0,4
Urban Legend (film),natalie,1.0,10
Urban Legend (film),brenda,1.0,1
Urban Legend (film),paul,0.0,1
Nine (2009 live-action film),guido,0.0,1
Dracula (1958 film),helsing,0.0,5
Dracula (1958 film),arthur,0.0,5
Dracula (1958 film),mina,1.0,1
Dracula (1958 film),harker,0.0,5
Jay and Silent Bob Strike Back,jay,0.0,8
The Exorcist (film),chris,0.0,3
The Exorcist (film),karras,0.0,4
V for Vendetta (film),evey,0.0,4
V for Vendetta (film),v,0.0,4
V for Vendetta (film),leader,0.0,4
V for Vendetta (film),finch,0.0,4
V for Vendetta (film),helen,1.0,4
A Nightmare on Elm Street 2: Freddys Revenge,jesse,0.0,4
A Nightmare on Elm Street 2: Freddys Revenge,lisa,1.0,4
Solaris (2002 film),kelvin,0.0,1
Solaris (2002 film),snow,1.0,1
Spaceballs,lone,0.0,4
Spaceballs,helmet,0.0,4
Spaceballs,barf,1.0,10
Spaceballs,vespa,1.0,1
Pie-lette,ned,0.0,4
Pie-lette,narrator,0.0,4
Pie-lette,chuck,0.0,1
Pie-lette,emerson,0.0,1
Monty Pythons The Meaning of Life,ainsworth,1.0,1
Monty Pythons The Meaning of Life,mr hendy,0.0,1
Monty Pythons The Meaning of Life,maitre d,1.0,9
Monty Pythons The Meaning of Life,mrs hendy,1.0,1
Monty Pythons The Meaning of Life,headmaster,0.0,1
Monty Pythons The Meaning of Life,first doctor,0.0,1
Monty Pythons The Meaning of Life,hymie,0.0,9
Monty Pythons The Meaning of Life,martin luther,0.0,9
Monty Pythons The Meaning of Life,biggs,0.0,1
Monty Pythons The Meaning of Life,mamie,1.0,9
Monty Pythons The Meaning of Life,grim reaper,0.0,5
Monty Pythons The Meaning of Life,first man,0.0,1
Monty Pythons The Meaning of Life,mrs bloke,1.0,1
Monty Pythons The Meaning of Life,angela,1.0,1
Monty Pythons The Meaning of Life,perkins,0.0,1
Monty Pythons The Meaning of Life,waiter,1.0,1
The Fabulous Baker Boys,jack,0.0,8
The Fabulous Baker Boys,frank,0.0,1
The Fabulous Baker Boys,susie,1.0,8
Heat (1995 film),neil,0.0,6
Heat (1995 film),hanna,0.0,6
Solarbabies,jason,0.0,4
Solarbabies,tara,1.0,4
Solarbabies,metron,0.0,4
Solarbabies,daniel,0.0,8
Solarbabies,rabbit,1.0,8
Solarbabies,tug,1.0,4
Starman (film),jenny,1.0,4
Starman (film),star man,0.0,2
The Godfather Part III,tony,0.0,6
The Godfather Part III,i,1.0,2
The Family Man,jack,0.0,3
The Family Man,kate,1.0,3
The King of Comedy (1983 film),pupkin,0.0,1
The King of Comedy (1983 film),rita,0.0,1
Batman Returns,penguin,0.0,1
Batman Returns,selina,1.0,1
Batman Returns,max,0.0,1
Batman Returns,bruce,0.0,1
Batman Returns,catwoman,1.0,1
From Dusk till Dawn,seth,0.0,4
From Dusk till Dawn,jacob,0.0,1
From Dusk till Dawn,richard,0.0,4
12 and Holding,jacob,0.0,1
12 and Holding,malee,1.0,1
12 and Holding,leonard,0.0,1
12 and Holding,kenny,0.0,1
12 and Holding,gus,0.0,1
12 and Holding,grace,1.0,1
The Witching Hour (film),rowan,0.0,1
The Witching Hour (film),michael,0.0,1
The Silence of the Lambs (film),clarice,1.0,4
The Silence of the Lambs (film),dr. lecter,0.0,6
The Silence of the Lambs (film),crawford,1.0,6
The Grudge,karen,1.0,4
The Grudge,matthew,0.0,4
The Grudge,susan,1.0,4
The Grudge,doug,0.0,4
The Grudge,nakagawa,1.0,4
Horrible Bosses,kurt,0.0,1
Horrible Bosses,nick,0.0,1
Horrible Bosses,dale,0.0,3
Horrible Bosses,harken,1.0,1
The Terminator,sarah,1.0,4
The Terminator,reese,1.0,4
Scary Movie,cindy,1.0,1
Scary Movie,bobby,0.0,4
Scary Movie,buffy,1.0,3
Scary Movie,brandy,1.0,3
The Sandlot,scotty,0.0,4
The Sandlot,benny,0.0,8
The Sandlot,ham,1.0,8
The Sandlot,narrator,0.0,1
Jaws 2,brody,0.0,4
Jaws 2,mike,0.0,1
Reservoir Dogs,mr. white,0.0,8
Reservoir Dogs,mr. pink,1.0,8
Reservoir Dogs,eddie,1.0,8
Reservoir Dogs,joe,0.0,8
Reservoir Dogs,freddy,0.0,8
Even Cowgirls Get the Blues (film),sissy,0.0,5
Even Cowgirls Get the Blues (film),jelly,1.0,5
Even Cowgirls Get the Blues (film),the countess,1.0,5
Even Cowgirls Get the Blues (film),chink,0.0,5
Cat People (1982 film),oliver,0.0,1
Cat People (1982 film),irena,1.0,1
Cat People (1982 film),alice,1.0,1
Cat People (1982 film),judd,1.0,5
Apocalypse Now Redux,willard,0.0,2
Apocalypse Now Redux,chef,0.0,2
Apocalypse Now Redux,chief,1.0,2
Apocalypse Now Redux,kilgore,0.0,2
Mumford (film),mumford,0.0,1
84C MoPic,easy,1.0,8
84C MoPic,od,1.0,2
84C MoPic,drewry,0.0,1
84C MoPic,hammer,1.0,8
84C MoPic,pretty boy,1.0,8
84C MoPic,cracker,1.0,8
Fracture (2007 film),willy,1.0,4
Fracture (2007 film),crawford,1.0,4
The Bodyguard (1992 film),frank,0.0,4
The Bodyguard (1992 film),rachel,1.0,1
The Seventh Victim,jason,0.0,1
The Seventh Victim,mary,1.0,1
The Seventh Victim,gregory,0.0,1
The Seventh Victim,judd,1.0,5
The Descendants,matt,0.0,1
The Descendants,alexandra,1.0,1
Looper (film),joe,0.0,4
Looper (film),sara,1.0,4
Looper (film),old joe,0.0,4
Benny & Joon,benny,0.0,8
Benny & Joon,joon,1.0,8
Benny & Joon,sam,0.0,3
The Pianist (2002 film),szpilman,0.0,9
The Pianist (2002 film),henryk,0.0,9
Awakenings,sayer,1.0,1
Awakenings,leonard,0.0,1
Jacobs Ladder (film),jacob,0.0,1
Sister Act,christy,1.0,3
Sister Act,mother superior,1.0,5
All the Presidents Men (film),woodward,0.0,6
All the Presidents Men (film),bernstein,0.0,6
American Shaolin,drew,1.0,1
Cherry Falls,jody,1.0,1
Cherry Falls,brent,1.0,1
In the Bedroom,matt,0.0,4
In the Bedroom,ruth,1.0,1
In the Bedroom,willis,1.0,1
In the Bedroom,natalie,1.0,1
In the Bedroom,f,1.0,1
The Sixth Sense,malcolm,0.0,3
The Sixth Sense,cole,0.0,4
The Sixth Sense,lynn,1.0,3
Barton Fink,barton,0.0,1
Barton Fink,charlie,1.0,1
Brick (film),brendan,0.0,4
Austin Powers: International Man of Mystery,austin,1.0,3
Austin Powers: International Man of Mystery,vanessa,1.0,1
Austin Powers: International Man of Mystery,dr. evil,0.0,7
RocknRolla,rocknrolla,0.0,10
RocknRolla,one two,0.0,8
RocknRolla,lenny cole,0.0,1
RocknRolla,archy,0.0,8
RocknRolla,johnny story,0.0,1
RocknRolla,mumbles,0.0,1
Nashville (film),triplette,0.0,1
Nashville (film),tom,0.0,3
Nashville (film),barnett,0.0,1
Nashville (film),linnea,1.0,1
Nashville (film),kenny,0.0,1
Nashville (film),green,1.0,1
Nashville (film),reese,1.0,1
Nashville (film),opal,0.0,1
Nashville (film),bill,0.0,3
Nashville (film),barbara jean,1.0,1
Nashville (film),wade,0.0,1
Nashville (film),albuquerque,1.0,1
Nashville (film),norman,0.0,1
Nashville (film),mary,1.0,1
The Pacifier,shane,0.0,4
The Bonfire of the Vanities (film),sherman,0.0,1
The Bonfire of the Vanities (film),peter,0.0,1
The Bonfire of the Vanities (film),maria,1.0,1
The Hitchhikers Guide to the Galaxy (film),arthur,0.0,1
The Hitchhikers Guide to the Galaxy (film),ford,0.0,4
The Hitchhikers Guide to the Galaxy (film),zaphod,1.0,4
Enemy of the State (film),dean,0.0,3
Return to Me,bob,0.0,3
Return to Me,grace,1.0,3
No Strings Attached (film),adam,0.0,1
No Strings Attached (film),emma,1.0,1
Backdraft (film),brian,0.0,1
Backdraft (film),stephen,0.0,1
Backdraft (film),shadow,0.0,1
Malibus Most Wanted,brad,0.0,8
Malibus Most Wanted,sean,0.0,8
Malibus Most Wanted,bill,0.0,1
Malibus Most Wanted,pj,1.0,8
Malibus Most Wanted,tom,0.0,1
Hancock (film),mary,1.0,4
Hancock (film),hancock,0.0,4
Hancock (film),horus,0.0,4
Hancock (film),aaron,0.0,4
The Lord of the Rings: The Return of the King,gandalf,0.0,10
The Lord of the Rings: The Return of the King,sam,0.0,1
The Lord of the Rings: The Return of the King,frodo,0.0,1
The Lord of the Rings: The Return of the King,pippin,0.0,1
The Lord of the Rings: The Return of the King,aragorn,0.0,5
The Lord of the Rings: The Return of the King,gollum,0.0,10
The Lord of the Rings: The Return of the King,denethor,1.0,5
The Lord of the Rings: The Return of the King,merry,1.0,1
Star Trek II: The Wrath of Khan,kirk,0.0,7
Star Trek II: The Wrath of Khan,spock,0.0,7
Charade (1963 film),reggie,1.0,4
The Kings Speech,bertie,1.0,5
The Kings Speech,lionel,0.0,5
The Girl with the Dragon Tattoo (2011 film),blomkvist,0.0,1
The Girl with the Dragon Tattoo (2011 film),salander,0.0,4
American Splendor (film),harvey,0.0,3
American Splendor (film),joyce,1.0,3
Poetic Justice (film),lucky,1.0,8
Poetic Justice (film),justice,1.0,3
Poetic Justice (film),chicago,1.0,8
Poetic Justice (film),jessie,1.0,3
Finding Nemo,marlin,0.0,4
Finding Nemo,dory,0.0,1
Finding Nemo,nemo,0.0,1
Major League (film),taylor,0.0,1
Major League (film),brown,0.0,1
Major League (film),lynn,1.0,1
Chinatown (1974 film),gittes,1.0,1
Chinatown (1974 film),evelyn,1.0,1
Malcolm X (film),malcolm,0.0,5
Feast (film),heroine,1.0,4
Feast (film),bozo,1.0,4
Feast (film),boss man,0.0,1
Feast (film),bartender,0.0,4
Walking Tall (2004 film),chris,0.0,1
Eagle Eye,jerry,0.0,4
Eagle Eye,rachel,1.0,1
Eagle Eye,morgan,0.0,4
Grosse Pointe Blank,martin,0.0,3
Grosse Pointe Blank,debi,1.0,4
War of the Worlds (2005 film),clayton,0.0,4
War of the Worlds (2005 film),sylvia,1.0,7
The Life and Death of Colonel Blimp,clive,0.0,9
The Birds (film),melanie,1.0,1
The Birds (film),mitch,0.0,1
The Birds (film),lydia,1.0,1
Cinema Paradiso,salvatore,0.0,4
Cinema Paradiso,alfredo,1.0,9
JFK (film),jim,0.0,6
Clueless (film),cher,1.0,1
Rapture (1965 film),sharon,1.0,1
The Sweet Hereafter (film),mitchell,0.0,1
The Sweet Hereafter (film),nicole,1.0,1
The Sweet Hereafter (film),dolores,1.0,1
The Sweet Hereafter (film),billy,0.0,1
The Lincoln Lawyer (film),mick,0.0,6
Agnes of God (film),martha,1.0,1
Agnes of God (film),agnes,1.0,1
Agnes of God (film),mother miriam,1.0,1
The Change-Up,mitch,0.0,3
The Change-Up,dave,0.0,1
Larry Crowne,larry crowne,1.0,1
Larry Crowne,talia,0.0,3
Ferris Buellers Day Off,ferris,0.0,1
Ferris Buellers Day Off,cameron,0.0,1
Ferris Buellers Day Off,sloane,0.0,1
House on Haunted Hill (1999 film),price,1.0,1
House on Haunted Hill (1999 film),sara,1.0,1
House on Haunted Hill (1999 film),pritchett,1.0,1
House on Haunted Hill (1999 film),eddie,1.0,1
House on Haunted Hill (1999 film),evelyn,1.0,1
House on Haunted Hill (1999 film),blackburn,0.0,1
The Sting,hooker,0.0,4
Megamind,master mind,0.0,4
Megamind,roxanne,1.0,1
Megamind,titan,0.0,4
I Know What You Did Last Summer,julie,1.0,1
I Know What You Did Last Summer,helen,1.0,3
I Know What You Did Last Summer,barry,1.0,1
I Know What You Did Last Summer,ray,0.0,1
The Cell,catherine,1.0,4
The Cell,novak,1.0,4
The Cell,miriam,1.0,4
Highlander III: The Sorcerer,jennifer,1.0,1
SubUrbia (film),jeff,0.0,1
SubUrbia (film),buff,0.0,1
SubUrbia (film),tim,0.0,1
SubUrbia (film),pony,1.0,1
Deception (2008 film),jonathan,0.0,4
Deception (2008 film),wyatt,0.0,4
Case 39,emily,1.0,4
Case 39,lucy,1.0,4
Scarface (1983 film),tony,0.0,8
The Verdict,galvin,1.0,6
Get Low (film),bush,0.0,4
Get Low (film),frank,0.0,1
Get Low (film),buddy,0.0,1
Get Low (film),mattie,0.0,4
Petulia,archie,1.0,1
Petulia,petulia,1.0,1
White Angel (1994 film),steckler,1.0,1
White Angel (1994 film),carter,0.0,1
