film,main_char,gender,top_topic
Soldier (1998 American film),todd,0.0,25
Soldier (1998 American film),slade,0.0,25
Real Genius,chris,0.0,8
Real Genius,mitch,0.0,6
Real Genius,atherton,0.0,10
Real Genius,kent,1.0,6
Below (film),odell,0.0,6
Below (film),brice,0.0,12
Below (film),claire,1.0,6
Below (film),loomis,0.0,6
Below (film),stumbo,0.0,23
Below (film),weird wally,0.0,12
Ed Wood (film),ed,0.0,6
Casablanca (film),rick,0.0,9
Casablanca (film),renault,1.0,9
Casablanca (film),ilsa,1.0,9
Casablanca (film),laszlo,0.0,8
"Crouching Tiger, Hidden Dragon",yu,0.0,22
"Crouching Tiger, Hidden Dragon",jen,1.0,9
"Crouching Tiger, Hidden Dragon",li,1.0,3
"Crouching Tiger, Hidden Dragon",lo,1.0,9
Basquiat (film),basquiat,0.0,6
Hesher (film),tj,0.0,8
Hesher (film),dad,0.0,8
Hesher (film),nicole,1.0,6
Hesher (film),grandma,1.0,8
Edward Scissorhands,peg,1.0,9
Edward Scissorhands,kim,1.0,6
Edward Scissorhands,edward,0.0,9
Edward Scissorhands,jim,0.0,6
Edward Scissorhands,bill,0.0,6
Annie Hall,alvy,0.0,6
Annie Hall,annie,1.0,6
Mission: Impossible (film),ethan,0.0,8
Mission: Impossible (film),phelps,0.0,8
Mission: Impossible (film),kittridge,0.0,8
Wonderland (2003 film),john,0.0,9
Wonderland (2003 film),dawn,1.0,18
Wonderland (2003 film),ron,0.0,5
Wonderland (2003 film),david,0.0,8
Monty Python and the Holy Grail,arthur,0.0,22
Eight Legged Freaks,sam,0.0,6
Eight Legged Freaks,chris,0.0,6
Eight Legged Freaks,mike,0.0,6
Eight Legged Freaks,ashley,0.0,6
Eight Legged Freaks,wade,0.0,6
Frozen River,ray,0.0,19
Frozen River,lila,1.0,19
Frozen River,t.j.,0.0,19
Nurse Betty,betty,1.0,6
Nurse Betty,charlie,1.0,6
Nurse Betty,wesley,0.0,6
Nurse Betty,george,0.0,6
Nurse Betty,rosa,1.0,6
Win Win (film),mike,0.0,6
Win Win (film),jackie,1.0,6
Win Win (film),kyle,0.0,6
Win Win (film),terry,0.0,6
Les Miserables (2012 film),valjean,0.0,22
Les Miserables (2012 film),marius,0.0,22
Les Miserables (2012 film),javert,1.0,22
Les Miserables (2012 film),fantine,1.0,22
Les Miserables (2012 film),enjolras,0.0,22
The Goonies,mikey,0.0,6
The Goonies,chunk,1.0,6
The Goonies,mouth,0.0,6
The Goonies,brand,1.0,6
The Goonies,data,0.0,6
Elf (film),buddy,0.0,8
Elf (film),walter,0.0,6
Jimmy and Judy,jimmy,0.0,6
Jimmy and Judy,judy,1.0,6
The Reader (2008 film),michael,0.0,8
The Reader (2008 film),hanna,0.0,8
The Reader (2008 film),judge,1.0,3
Phone Booth (film),stu,0.0,6
Phone Booth (film),voice,1.0,3
Sweet Smell of Success,sidney,1.0,9
Sweet Smell of Success,hunsecker,1.0,9
Sweet Smell of Success,susan,1.0,9
Panther (film),judge,1.0,23
Panther (film),huey,0.0,11
Panther (film),tyrone,0.0,25
Panther (film),brimmer,0.0,23
Panther (film),cy,0.0,8
The Roommate,sara,1.0,8
The Roommate,rebecca,1.0,8
Wonder Boys (film),grady,0.0,8
Wonder Boys (film),james leer,0.0,6
Life as a House,george,0.0,8
Life as a House,sam,0.0,8
Life as a House,robin,0.0,8
Life as a House,alyssa,1.0,8
Drop Dead Gorgeous (film),amber,1.0,6
Drop Dead Gorgeous (film),gladys,1.0,5
Drop Dead Gorgeous (film),loretta,1.0,5
Insomnia (2002 film),will,0.0,25
Insomnia (2002 film),ellie,1.0,8
Wes Cravens New Nightmare,heather,1.0,25
The Black Dahlia (film),bucky,0.0,8
The Ugly Truth,abby,1.0,6
The Ugly Truth,mike,0.0,5
Blade II,blade,0.0,25
Blade II,whistler,0.0,25
Blade II,nyssa,1.0,25
Blade II,scud,0.0,25
Lethal Weapon,murtaugh,0.0,23
Lethal Weapon,riggs,0.0,23
Bound (film),violet,1.0,25
Bound (film),caesar,0.0,25
Bound (film),corky,0.0,25
Indiana Jones and the Last Crusade,indy,0.0,25
Indiana Jones and the Last Crusade,henry,0.0,25
Die Hard,mcclane,0.0,6
Die Hard,hans,0.0,10
Die Hard,powell,0.0,10
Star Trek: The Motion Picture,kirk,0.0,12
Star Trek: The Motion Picture,decker,1.0,12
Star Trek: The Motion Picture,spock,0.0,12
Young Frankenstein,freddy,0.0,8
Young Frankenstein,igor,0.0,8
50-50 (2011 film),adam,0.0,8
Super 8 (film),joe,0.0,6
Super 8 (film),charles,1.0,6
Super 8 (film),cary,1.0,6
Super 8 (film),jack,0.0,6
Super 8 (film),alice,1.0,6
Hard Rain (film),tom,0.0,25
Hard Rain (film),jim,0.0,25
Hard Rain (film),sheriff,0.0,6
Hard Rain (film),karen,1.0,25
Snatch (film),sol,0.0,23
Snatch (film),turkish,0.0,25
Snatch (film),vinny,0.0,6
Snatch (film),btt,0.0,23
Snatch (film),brick top,1.0,8
Snatch (film),hands,1.0,25
Snatch (film),tommy,0.0,6
Snatch (film),doug,0.0,9
Snatch (film),micky,1.0,6
Snow White and the Huntsman,eric,0.0,25
Snow White and the Huntsman,snow white,1.0,25
Snow White and the Huntsman,ravenna,1.0,25
Snow White and the Huntsman,finn,0.0,25
Erin Brockovich (film),erin,1.0,6
Erin Brockovich (film),ed,0.0,6
Passenger 57,cutter,0.0,25
Passenger 57,wolfgang,0.0,10
Passenger 57,marti,0.0,6
Passenger 57,sly,1.0,6
Sunshine Cleaning,rose,1.0,8
Sunshine Cleaning,norah,1.0,8
Sunshine Cleaning,joe,0.0,6
Clerks,dante,0.0,6
Clerks,randal,0.0,6
Top Gun,maverick,0.0,6
Top Gun,charlie,1.0,6
Top Gun,goose,1.0,8
The Curse of the Cat People,amy,1.0,8
The Curse of the Cat People,oliver,0.0,8
The Curse of the Cat People,alice,1.0,9
The Curse of the Cat People,mrs. farren,1.0,25
The Curse of the Cat People,edward,0.0,8
Rent (film),roger,0.0,9
Rent (film),mark,0.0,5
Rent (film),mimi,1.0,9
Rent (film),collins,1.0,9
Rent (film),joanne,0.0,6
Rent (film),maureen,1.0,5
Rent (film),benny,0.0,9
Rent (film),angel,1.0,9
Its Complicated (film),jane,1.0,6
Its Complicated (film),jake,0.0,6
Its Complicated (film),adam,0.0,6
Gone in 60 Seconds (2000 film),memphis,1.0,19
Gone in 60 Seconds (2000 film),kip,0.0,6
Sugar (2008 film),miguel,1.0,8
Remember Me (2010 film),tyler,1.0,8
Remember Me (2010 film),ally,1.0,8
Remember Me (2010 film),aidan,0.0,6
The Godfather Part II,michael,0.0,9
The Godfather Part II,hagen,0.0,9
The Godfather Part II,fredo,0.0,6
The Godfather Part II,pentangeli,1.0,6
The Adjustment Bureau,david,0.0,8
The Adjustment Bureau,elise,1.0,6
44 Inch Chest,archie,1.0,8
44 Inch Chest,mal,0.0,23
44 Inch Chest,colin,0.0,9
44 Inch Chest,omp,1.0,23
44 Inch Chest,meredith,0.0,9
What Lies Beneath,claire,1.0,6
What Lies Beneath,norman,0.0,6
Independence Day (1996 film),david,0.0,10
Independence Day (1996 film),steve,0.0,10
Independence Day (1996 film),president,0.0,10
Independence Day (1996 film),general grey,0.0,10
Independence Day (1996 film),constance,1.0,10
Independence Day (1996 film),moishe,0.0,6
Independence Day (1996 film),jasmine,1.0,8
Network (film),diana,1.0,17
Network (film),max,0.0,17
Network (film),howard,0.0,17
Network (film),hackett,0.0,17
Frances (film),frances,1.0,8
Frances (film),harry,0.0,6
Superman IV: The Quest for Peace,lex,0.0,8
Superman IV: The Quest for Peace,clark,0.0,8
Superman IV: The Quest for Peace,lacy,1.0,8
Superman IV: The Quest for Peace,lois,1.0,8
Superman IV: The Quest for Peace,superman,0.0,3
Superman IV: The Quest for Peace,lenny,0.0,6
Lost in America,david,0.0,9
Lost in America,nancy,1.0,6
The Hudsucker Proxy,norville,1.0,25
The Hudsucker Proxy,amy,1.0,8
Children of Men,theo,1.0,25
Children of Men,kee,1.0,25
Leaving Las Vegas,ben,0.0,18
Leaving Las Vegas,sera,1.0,18
Fright Night,charley,0.0,25
Fright Night,peter,0.0,25
Fright Night,amy,1.0,8
The Green Mile (film),paul,0.0,25
The Green Mile (film),coffey,0.0,25
Who Framed Roger Rabbit,valiant,0.0,8
Who Framed Roger Rabbit,roger rabbit,0.0,8
Dexter (episode),debra,1.0,6
Dexter (episode),laguerta,1.0,8
Dexter (episode),harry,0.0,8
Dexter (episode),rita,0.0,6
Star Wars Episode III: Revenge of the Sith,anakin,0.0,12
Star Wars Episode III: Revenge of the Sith,padme,1.0,12
Star Wars Episode III: Revenge of the Sith,palpatine,0.0,12
I Love You Phillip Morris,steven,0.0,8
I Love You Phillip Morris,phillip,0.0,6
Bad Lieutenant,lt,0.0,23
Vanilla Sky,david,0.0,8
Vanilla Sky,sofia,1.0,5
Only You (1994 film),faith,0.0,6
Only You (1994 film),kate,1.0,6
Only You (1994 film),peter,0.0,6
Tall in the Saddle,rocklin,0.0,8
Tall in the Saddle,dave,0.0,8
Tall in the Saddle,arly,0.0,8
Station West,haven,0.0,8
Station West,charlie,1.0,8
Book of Shadows: Blair Witch 2,cotter,0.0,25
Book of Shadows: Blair Witch 2,heather,1.0,25
Book of Shadows: Blair Witch 2,nick,0.0,6
Book of Shadows: Blair Witch 2,anna,1.0,25
Book of Shadows: Blair Witch 2,domini,1.0,6
At First Sight,virgil,0.0,8
At First Sight,amy,1.0,8
The Iron Lady (film),margaret,1.0,8
The Iron Lady (film),denis,0.0,8
Absolute Power (film),luther,0.0,8
Absolute Power (film),seth,0.0,8
Absolute Power (film),kate,1.0,8
Absolute Power (film),richmond,0.0,8
Absolute Power (film),russell,0.0,8
Absolute Power (film),walter sullivan,0.0,9
Romeo + Juliet,romeo,0.0,25
Romeo + Juliet,juliet,1.0,22
Romeo + Juliet,mercutio,1.0,25
Romeo + Juliet,benvolio,1.0,22
Romeo + Juliet,father laurence,0.0,22
Urban Legend (film),natalie,1.0,14
Urban Legend (film),brenda,1.0,14
Urban Legend (film),paul,0.0,14
Nine (2009 live-action film),guido,0.0,9
Dracula (1958 film),helsing,0.0,22
Dracula (1958 film),arthur,0.0,9
Dracula (1958 film),mina,1.0,9
Dracula (1958 film),harker,0.0,22
Jay and Silent Bob Strike Back,jay,0.0,23
The Exorcist (film),chris,0.0,8
The Exorcist (film),karras,0.0,8
V for Vendetta (film),evey,0.0,25
V for Vendetta (film),v,0.0,25
V for Vendetta (film),leader,0.0,3
V for Vendetta (film),finch,0.0,25
V for Vendetta (film),helen,1.0,25
A Nightmare on Elm Street 2: Freddys Revenge,jesse,0.0,25
A Nightmare on Elm Street 2: Freddys Revenge,lisa,1.0,8
Solaris (2002 film),kelvin,0.0,3
Solaris (2002 film),snow,1.0,3
Spaceballs,lone,0.0,8
Spaceballs,helmet,0.0,15
Spaceballs,barf,1.0,6
Spaceballs,vespa,1.0,9
Pie-lette,ned,0.0,6
Pie-lette,narrator,0.0,25
Pie-lette,chuck,0.0,6
Pie-lette,emerson,0.0,6
Monty Pythons The Meaning of Life,ainsworth,1.0,9
Monty Pythons The Meaning of Life,mr hendy,0.0,6
Monty Pythons The Meaning of Life,maitre d,1.0,24
Monty Pythons The Meaning of Life,mrs hendy,1.0,6
Monty Pythons The Meaning of Life,headmaster,0.0,3
Monty Pythons The Meaning of Life,first doctor,0.0,3
